epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss,miu_mean_train,miu_var_train
1,6733.050233592396,"[-1957.6656882540397, -688.562665007909, -2.1789699050608187, -9.262685691766022, -0.7242414258064755]",0.8271472854777763,"[-1511.4731279929726, -673.8942554937923, -2.0464453755567473, -10.994037295337767, -1.4385672629872959]",226.53847529831285,"[-0.12934871017932892, 0.8119498491287231]","[[232.00934286890705, -57.38854876369461], [-57.38854876369461, 220.48918136465025]]"
2,5451.63210511012,"[-4731.164480387371, -1976.6269163174086, -7.239156297147279, -30.10993610289362, -2.8118597802354244]",0.1241287057914048,"[-4731.5085869344075, -1975.756844736735, -5.984919517437617, -29.70808852036794, -4.170081850091616]",1313.197444335939,"[-3.902783155441284, 3.415325403213501]","[[1262.5300591268144, -649.2205961854481], [-649.2205961854481, 1360.546857255632]]"
3,5437.34731155475,"[-4935.9383097500295, -2047.5995275709358, -7.90172390868267, -29.438856037457764, -2.546888273772266]",0.058909878705162545,"[-4833.944826456705, -2031.959929555257, -6.056527056296667, -33.0189835524559, -4.6272406670451165]",1393.64544498698,"[-3.0089075565338135, 2.9538774490356445]","[[1336.1818867692762, -696.5979060444677], [-696.5979060444677, 1460.3012363390942]]"
4,5432.306121449475,"[-4920.471819864908, -2040.151070344712, -6.614165782100633, -22.086299061112936, -2.1246243443257264]",0.030601495491444208,"[-4861.637034098308, -2039.7817921447754, -7.431829941471418, -39.95476107438405, -5.0944320444266005]",1393.5878421223956,"[-2.810417413711548, 2.983762741088867]","[[1339.55208339484, -698.5733416387715], [-698.5733416387715, 1458.534542797442]]"
5,5433.525861827393,"[-4857.157780507408, -2027.4100460730663, -6.593297064105674, -17.307765952613632, -2.294237784759868]",0.0225699042898163,"[-4925.809086710612, -2056.362276763916, -7.345313739180565, -44.20749944845836, -4.8983209284146625]",1395.0052784830727,"[-3.4029908180236816, 3.1738765239715576]","[[1337.491424410162, -693.1938368866688], [-693.1938368866688, 1458.6337103165486]]"
6,5433.183306311137,"[-4879.18271362305, -2042.3106648932553, -7.209739323490194, -15.62286816265846, -2.4657947921918484]",0.017068178022099267,"[-4906.160397135417, -2042.6156784566244, -6.826775999267896, -46.76784949620565, -4.661305562655131]",1395.7216263020841,"[-2.559570789337158, 2.7748401165008545]","[[1342.3504162756262, -697.3783280225459], [-697.3783280225459, 1462.645252549225]]"
7,5434.005232972101,"[-4889.900249379474, -2042.815966618855, -7.093815234634611, -15.372173655827849, -2.3792373299433134]",0.013493758401212608,"[-4887.695762329102, -2036.2203868103027, -6.838398466507594, -46.75886813481649, -4.850670043230057]",1393.3529340820303,"[-3.304621696472168, 3.44659423828125]","[[1335.963341560937, -694.7866275793721], [-694.7866275793721, 1455.5193107295427]]"
8,5433.290517879141,"[-4888.90333992852, -2039.3664656745073, -7.108018352422451, -14.962860547701533, -2.2751504485143563]",0.008055843804484328,"[-4896.383287760416, -2045.7515316263834, -6.927234605550766, -47.57498139858246, -4.937161456942558]",1395.8484817708334,"[-2.884732961654663, 2.972545862197876]","[[1343.0611670407425, -694.7739523108664], [-694.7739523108664, 1459.2739787295839]]"
9,5435.544203997407,"[-4880.437562815349, -2038.8047579956071, -6.862581960128409, -14.150235462983437, -2.298521962314843]",0.008955605469851038,"[-4895.281186726888, -2040.7514807637533, -7.130479534069697, -47.75570160388946, -4.9127294725179675]",1393.8143657226565,"[-3.198082208633423, 3.10725474357605]","[[1334.6137280087928, -694.96520829029], [-694.96520829029, 1460.9204932061]]"
10,5434.422472049552,"[-4873.498156856961, -2042.16765168084, -6.761876414981155, -14.208044281270762, -2.3214962323175556]",0.008388155800785165,"[-4905.630548909505, -2039.0941246032714, -7.262159544229507, -47.94782657464345, -4.899077518979708]",1394.334633626304,"[-2.9625182151794434, 3.1468567848205566]","[[1339.1708833433956, -694.7604117693314], [-694.7604117693314, 1458.6304903390387]]"
11,5434.038117083456,"[-4878.613959791396, -2039.468578923542, -6.624112822082305, -14.473953495290555, -2.361787562138505]",0.006007264175972928,"[-4903.424856974284, -2043.7815073140462, -7.408756283919017, -47.936829760869344, -4.895107202331225]",1395.1821609700526,"[-3.084351062774658, 3.149859666824341]","[[1340.725962736224, -694.3545485016529], [-694.3545485016529, 1457.9915177425357]]"
12,5435.890829387485,"[-4872.364072401257, -2035.3820280541331, -6.452372932202291, -14.070585996309916, -2.3801926960713344]",0.0068509589144216294,"[-4901.252542114258, -2043.9217338562012, -7.569839246074358, -48.167049031257626, -4.857834096749624]",1393.5942926432283,"[-3.066662073135376, 3.0717484951019287]","[[1336.734463141503, -693.5956846356412], [-693.5956846356412, 1459.3942664011104]]"
13,5435.751821728454,"[-4873.279913804795, -2032.72998797099, -6.366894451777143, -13.976065442297212, -2.479569851590524]",0.006248117512101699,"[-4905.443929036458, -2046.581740468343, -7.651953190565109, -48.32761229038238, -4.7671871306498845]",1394.562099283854,"[-2.9630701541900635, 3.150599718093872]","[[1341.067480395042, -697.7143481306493], [-697.7143481306493, 1457.1264569971754]]"
14,5434.112895948739,"[-4862.406605885828, -2027.398236838445, -6.0577124342984625, -12.66671306451161, -2.557308106952245]",0.006071965370210818,"[-4914.617264200846, -2053.7221380615233, -7.93601881702741, -49.668177690505985, -4.708131089409193]",1393.7693216145847,"[-3.1170077323913574, 3.0610857009887695]","[[1337.1404760030155, -693.3598583470206], [-693.3598583470206, 1459.1087745923533]]"
15,5435.588233978014,"[-4856.866533660891, -2023.6158077833386, -5.997458459602458, -11.30580371061962, -2.5387146048247833]",0.007170193099914787,"[-4917.3440234375, -2056.711275482178, -8.005888729095458, -50.97129546801249, -4.713055206537247]",1393.7733076171887,"[-2.9187753200531006, 3.150576591491699]","[[1340.6449215071248, -693.8796207819646], [-693.8796207819646, 1456.2568083482743]]"
