epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss
1,2067.477058895379,"[-473.5371781296531, -263.14002048586804, -192.31105229437352, -609.6690493961175, -681.8663497716188]",0.6986142974944475,"[-486.46556680527203, -307.2647978870198, -200.66153154159275, -671.954509386116, -699.9720336333414]",308.6115442784031
2,1176.6756014944701,"[-1111.7846108659107, -538.7672020347914, -418.82869611819586, -1374.0055457146962, -1501.4017265033722]",0.06791830527688338,"[-1131.5496969858805, -797.3421787261963, -444.10848846435545, -1511.600640258789, -1551.4995164998372]",1022.0200534667975
3,1178.2345917933787,"[-1131.5418761920928, -529.246030099392, -433.8614755964279, -1359.891696058909, -1541.9012944730123]",0.055258619048642384,"[-1154.3386712900797, -834.8795174916585, -445.71794085184735, -1570.4291625976562, -1566.2886016337077]",1060.2411471354171
4,1172.6062964490254,"[-1133.7958644898733, -494.10953267733254, -435.4480991792679, -1404.0648053296406, -1560.3323915020626]",0.03536751101196084,"[-1155.1558204905193, -862.6824031575521, -444.9744194030762, -1541.7087784322102, -1551.9159587097167]",1060.6453541666667
5,1173.9754308563865,"[-1141.938377536138, -488.29878094355263, -432.1131671992938, -1422.7437049706778, -1566.2437635803224]",0.04057421386224935,"[-1139.4821103159586, -868.054776687622, -448.2429777908325, -1518.847921702067, -1542.2262433369954]",1058.1306749674472
6,1168.8247124385823,"[-1143.3481174580256, -478.2373689953486, -427.04003890832263, -1422.9353132724762, -1572.067056236267]",0.029820467744430063,"[-1142.5281597646078, -885.2732022603353, -459.2676354598999, -1519.9379182942707, -1538.8686235046387]",1059.8176357421887
7,1173.2555886856724,"[-1135.0339277919134, -486.0176131486893, -421.5665473198891, -1413.8046319643656, -1572.8381618563335]",0.0284357583103944,"[-1145.6090456390382, -877.047671178182, -464.36157656351725, -1527.2271689860027, -1536.2040588378907]",1060.0744680989585
8,1171.5924409853624,"[-1131.8522480249405, -472.03624222517016, -422.1292681733767, -1384.4395551172893, -1574.1522454516094]",0.02580121883220272,"[-1153.6180759175618, -891.7218409729004, -463.8414616012573, -1558.8114889526366, -1536.5503397115071]",1061.131375162761
9,1173.8282552350358,"[-1125.6700707260768, -405.129276471138, -420.48538246154783, -1331.723166666031, -1578.456182753245]",0.04972739842021838,"[-1161.0627240753174, -952.4045948282877, -464.96734523773193, -1609.1969279988607, -1531.2713176472982]",1060.4921209309898
10,1178.640105143865,"[-1109.6176825888951, -290.6358346970876, -415.6466551653544, -1222.8512699953715, -1576.5813853613536]",0.061434037536212904,"[-1169.4980929819742, -1063.2162851206463, -466.99644948323566, -1710.8988805643717, -1530.8078444925943]",1058.174723795573
11,1180.5916188564295,"[-1117.877700697581, -316.4316722027461, -417.5865856297811, -1125.7222251224518, -1575.8057702287038]",0.0512613470939444,"[-1162.497854715983, -1032.973176574707, -463.37367571512857, -1806.73790725708, -1528.8565781148275]",1057.3730323893226
12,1189.865375441235,"[-1078.0687512667973, -282.5360219494502, -408.55794178326926, -1108.667248058319, -1578.8139630699159]",0.060587156238786216,"[-1176.7523615264893, -1058.7633295694986, -471.10408203125, -1829.119416147868, -1524.58071975708]",1055.8300511067707
13,1195.780110410056,"[-1065.181049343745, -262.38976776917775, -403.64175025145215, -1081.0919952487945, -1584.1526352437338]",0.0958199660901543,"[-1179.6119353485108, -1079.657703374227, -475.3262435658773, -1853.5634900919597, -1518.7425309753419]",1056.0664736328135
14,1201.328715236028,"[-1039.2834943183263, -235.96109454790752, -396.4317396259308, -1087.6712392361958, -1585.1712282498677]",0.17332149646060618,"[-1190.448625386556, -1107.631373163859, -482.8326047388713, -1844.2080838521322, -1518.575783843994]",1055.8120030924472
15,1189.4887145334872,"[-1073.6174751297633, -170.77034225940704, -388.4643613052368, -1123.197021004359, -1588.413930870692]",0.3074923824800256,"[-1185.7132795206705, -1171.8860989634195, -491.74575115203857, -1803.0029303487142, -1511.767431640625]",1053.964678059895
16,1190.2927851575216,"[-1064.9811091566087, -107.61888657093048, -377.89438318570456, -1112.436251821518, -1595.2346786594392]",0.37216519994544794,"[-1195.2243022664388, -1230.306634165446, -502.7246795145671, -1823.4334925842286, -1508.5944405110677]",1056.3407612304682
17,1585.2149127225862,"[-73.83678633054097, -52.38328557014465, -364.5350134952863, -1082.9946800104776, -1595.3661687040328]",0.3155844820407219,"[-1195.8398560078938, -1286.0383430989584, -512.4550145212809, -1845.2622996520995, -1500.3737140401204]",1051.9290823567706
18,1252.5489442761734,"[-902.5019319343567, -44.50719971974691, -356.56756764411926, -1086.510949494044, -1605.8315143616994]",0.469474317911081,"[-1202.3523327382406, -1295.7527184041342, -521.1104308827718, -1838.5207548014323, -1491.5832838439942]",1052.8268081054691
19,1212.8619676478709,"[-988.7930367739996, 36.763796257972714, -342.98812717994053, -1138.1311736392975, -1596.0219303607942]",0.8574890895296509,"[-1218.6196332550048, -1373.679766184489, -532.4282700475057, -1787.5252256774902, -1497.889786529541]",1051.7982039388019
