cnt,season,hr,workingday,weathersit,temp,atemp,hum,windspeed,intercept
425,3,19,0,1,0.8,0.697,0.27,0.194,1.0
88,1,20,0,1,0.24,0.2273,0.41,0.2239,1.0
4,4,2,1,1,0.32,0.303,0.66,0.2836,1.0
526,2,19,1,1,0.78,0.7121,0.52,0.3582,1.0
13,1,0,1,1,0.26,0.2273,0.56,0.3881,1.0
32,1,0,1,1,0.44,0.4394,0.72,0.2836,1.0
706,2,18,1,1,0.72,0.6667,0.58,0.1343,1.0
26,4,7,0,1,0.26,0.303,0.87,0.0,1.0
2,1,2,1,1,0.5,0.4848,0.68,0.194,1.0
21,4,5,1,1,0.42,0.4242,0.71,0.2239,1.0
34,1,0,1,1,0.18,0.1818,0.55,0.194,1.0
89,2,22,1,1,0.32,0.3182,0.76,0.194,1.0
542,2,16,0,2,0.72,0.6515,0.37,0.1045,1.0
9,2,4,1,2,0.54,0.5152,0.77,0.194,1.0
325,3,17,0,2,0.56,0.5303,0.64,0.194,1.0
336,2,8,1,2,0.4,0.4091,0.58,0.2985,1.0
188,1,8,1,2,0.12,0.1212,0.5,0.2836,1.0
479,4,14,0,2,0.36,0.3788,0.71,0.0,1.0
16,4,6,0,1,0.44,0.4394,0.62,0.2537,1.0
852,2,17,1,1,0.66,0.6212,0.31,0.1343,1.0
8,1,3,0,1,0.2,0.2121,0.64,0.1343,1.0
161,3,6,1,2,0.6,0.5758,0.78,0.1343,1.0
37,1,19,0,3,0.42,0.4242,0.88,0.2537,1.0
84,3,10,1,1,0.82,0.803,0.59,0.0,1.0
124,4,22,1,1,0.52,0.5,0.63,0.3284,1.0
144,4,6,1,1,0.36,0.3636,0.76,0.0896,1.0
23,2,2,1,2,0.62,0.5758,0.83,0.0,1.0
188,1,15,1,1,0.44,0.4394,0.72,0.1343,1.0
6,1,4,0,2,0.16,0.1364,0.47,0.3881,1.0
82,4,6,1,2,0.44,0.4394,0.33,0.2985,1.0
3,4,3,1,2,0.3,0.3182,0.81,0.1045,1.0
29,3,1,1,1,0.66,0.6212,0.65,0.2239,1.0
374,2,20,1,1,0.52,0.5,0.4,0.3284,1.0
76,1,23,0,1,0.16,0.1515,0.47,0.2239,1.0
76,3,0,1,1,0.66,0.6212,0.69,0.0,1.0
868,3,17,1,2,0.78,0.7424,0.62,0.1343,1.0
8,4,4,1,3,0.62,0.5455,0.94,0.0896,1.0
122,4,19,1,1,0.38,0.3939,0.58,0.3881,1.0
109,2,21,1,3,0.64,0.6061,0.73,0.2836,1.0
315,3,21,1,1,0.7,0.6515,0.61,0.194,1.0
614,3,18,0,2,0.64,0.6212,0.36,0.2836,1.0
142,3,10,1,1,0.7,0.6515,0.7,0.1343,1.0
201,3,22,0,1,0.72,0.6667,0.51,0.1642,1.0
3,1,4,1,2,0.3,0.2879,0.65,0.2239,1.0
649,3,8,1,1,0.72,0.697,0.74,0.1343,1.0
243,2,20,0,1,0.56,0.5303,0.32,0.0896,1.0
158,4,11,1,1,0.62,0.6061,0.61,0.194,1.0
195,2,9,1,3,0.34,0.303,0.61,0.2985,1.0
30,1,23,0,1,0.24,0.2879,0.65,0.0,1.0
118,3,6,1,2,0.64,0.5758,0.89,0.1343,1.0
310,3,21,1,1,0.56,0.5303,0.6,0.1045,1.0
529,1,17,1,1,0.52,0.5,0.32,0.3881,1.0
598,3,14,0,1,0.76,0.6667,0.37,0.2836,1.0
181,1,20,1,1,0.3,0.303,0.39,0.1642,1.0
257,2,14,1,1,0.64,0.6212,0.27,0.2836,1.0
162,4,23,1,1,0.32,0.3333,0.81,0.0896,1.0
86,4,9,1,3,0.58,0.5455,0.88,0.1343,1.0
75,3,12,1,1,0.64,0.5606,0.94,0.0,1.0
137,2,6,1,3,0.56,0.5303,0.88,0.1045,1.0
236,3,20,1,1,0.72,0.697,0.74,0.4179,1.0
79,1,15,1,2,0.34,0.3485,0.87,0.0896,1.0
156,2,0,0,1,0.58,0.5455,0.68,0.0,1.0
198,3,9,1,1,0.68,0.6364,0.61,0.2836,1.0
175,1,14,1,1,0.52,0.5,0.36,0.3284,1.0
438,2,8,1,1,0.64,0.6061,0.73,0.0896,1.0
217,4,19,1,1,0.3,0.2879,0.45,0.2239,1.0
27,3,0,1,1,0.54,0.5152,1.0,0.0,1.0
105,3,23,1,1,0.7,0.6667,0.74,0.2836,1.0
186,2,12,1,1,0.7,0.6515,0.61,0.4179,1.0
356,2,15,1,1,0.78,0.7121,0.49,0.2836,1.0
177,3,22,1,1,0.68,0.6364,0.79,0.194,1.0
119,2,10,1,1,0.56,0.5303,0.52,0.194,1.0
49,1,16,1,3,0.22,0.2576,0.87,0.0896,1.0
224,1,18,1,1,0.32,0.3182,0.39,0.194,1.0
162,4,12,1,2,0.5,0.4848,0.77,0.1343,1.0
320,4,11,0,1,0.42,0.4242,0.58,0.0896,1.0
122,1,9,1,2,0.18,0.2424,0.51,0.0,1.0
153,1,22,1,1,0.56,0.5303,0.49,0.3284,1.0
271,1,20,0,1,0.56,0.5303,0.64,0.194,1.0
110,2,23,0,1,0.72,0.6667,0.58,0.1045,1.0
374,4,17,1,1,0.4,0.4091,0.4,0.1642,1.0
20,4,4,0,2,0.5,0.4848,0.63,0.3582,1.0
22,1,5,1,1,0.2,0.2121,0.8,0.1343,1.0
109,3,23,1,1,0.54,0.5152,0.68,0.1045,1.0
259,1,8,1,1,0.28,0.2727,0.7,0.2537,1.0
472,4,8,1,1,0.32,0.3485,0.87,0.0,1.0
176,2,23,1,1,0.6,0.5909,0.69,0.2537,1.0
105,4,23,1,3,0.54,0.5152,0.77,0.0,1.0
412,3,14,1,1,0.7,0.6515,0.54,0.2985,1.0
440,2,7,1,1,0.56,0.5303,0.83,0.0,1.0
169,3,9,0,1,0.74,0.697,0.66,0.0896,1.0
4,1,1,0,1,0.22,0.2273,0.69,0.1343,1.0
104,2,13,1,1,0.34,0.303,0.25,0.2985,1.0
290,1,17,0,1,0.42,0.4242,0.44,0.3881,1.0
84,3,2,0,1,0.72,0.7121,0.84,0.1343,1.0
76,1,9,0,1,0.42,0.4242,0.44,0.4627,1.0
177,1,16,1,1,0.3,0.303,0.52,0.1642,1.0
186,3,9,1,1,0.82,0.7424,0.41,0.194,1.0
4,1,6,0,2,0.16,0.1515,0.74,0.2239,1.0
143,1,18,0,1,0.22,0.2273,0.41,0.194,1.0
57,1,10,1,1,0.22,0.197,0.37,0.3284,1.0
180,1,9,1,1,0.04,0.0606,0.45,0.1343,1.0
615,2,14,0,1,0.66,0.6212,0.36,0.194,1.0
73,1,23,1,2,0.36,0.3333,0.66,0.2537,1.0
321,4,12,0,2,0.4,0.4091,0.62,0.194,1.0
15,1,8,0,3,0.16,0.1818,0.93,0.1045,1.0
267,1,7,1,1,0.2,0.197,0.69,0.2537,1.0
68,1,18,0,1,0.22,0.2273,0.69,0.1343,1.0
390,2,16,1,1,0.74,0.6818,0.55,0.3582,1.0
62,2,23,1,2,0.56,0.5303,0.68,0.3284,1.0
145,3,14,1,2,0.82,0.7727,0.52,0.2836,1.0
40,1,22,1,1,0.22,0.2121,0.44,0.2537,1.0
42,2,1,1,1,0.62,0.5758,0.83,0.0896,1.0
9,3,4,1,1,0.48,0.4697,0.72,0.1045,1.0
9,2,1,1,1,0.42,0.4242,0.5,0.2239,1.0
50,4,10,1,3,0.46,0.4545,0.94,0.2836,1.0
29,2,9,0,3,0.4,0.4091,1.0,0.2985,1.0
392,3,14,0,1,0.84,0.7121,0.2,0.0,1.0
137,4,21,0,1,0.62,0.5455,0.94,0.0896,1.0
507,2,7,1,1,0.6,0.6061,0.64,0.2836,1.0
67,2,22,1,3,0.48,0.4697,0.82,0.1045,1.0
153,4,18,1,1,0.46,0.4545,0.44,0.0896,1.0
126,3,23,1,1,0.5,0.4848,0.59,0.0,1.0
65,3,0,1,2,0.7,0.6667,0.84,0.0896,1.0
307,3,18,0,1,0.72,0.6515,0.45,0.2537,1.0
11,3,3,1,1,0.52,0.5,0.83,0.0,1.0
286,2,7,1,1,0.22,0.2273,0.37,0.194,1.0
865,3,17,1,1,0.82,0.7727,0.52,0.2537,1.0
224,1,16,1,2,0.4,0.4091,0.71,0.0896,1.0
174,1,19,1,3,0.36,0.3485,0.87,0.194,1.0
51,2,1,1,1,0.58,0.5455,0.78,0.194,1.0
106,2,6,1,1,0.54,0.5152,0.45,0.2985,1.0
172,2,11,1,1,0.68,0.6364,0.65,0.3881,1.0
397,2,15,0,1,0.6,0.5909,0.73,0.3881,1.0
559,4,18,1,1,0.34,0.3182,0.49,0.2836,1.0
124,2,11,1,1,0.6,0.6212,0.4,0.3881,1.0
3,1,3,1,1,0.44,0.4394,0.44,0.194,1.0
8,3,4,1,2,0.7,0.6667,0.84,0.0896,1.0
49,1,23,0,1,0.2,0.197,0.51,0.2239,1.0
77,1,14,1,1,0.26,0.2424,0.3,0.2836,1.0
9,3,3,1,1,0.6,0.6061,0.6,0.1642,1.0
432,2,18,0,1,0.52,0.5,0.52,0.2985,1.0
57,1,20,1,3,0.32,0.3182,0.93,0.1642,1.0
302,4,16,1,1,0.58,0.5455,0.56,0.2537,1.0
153,3,11,1,1,0.7,0.6515,0.61,0.1642,1.0
80,4,23,0,1,0.36,0.3485,0.93,0.1343,1.0
306,2,17,0,1,0.56,0.5303,0.3,0.4478,1.0
13,4,5,1,3,0.46,0.4545,0.94,0.1045,1.0
182,3,12,1,1,0.82,0.7576,0.46,0.2537,1.0
66,4,1,0,2,0.26,0.2576,0.7,0.1642,1.0
172,2,6,1,1,0.48,0.4697,0.77,0.0,1.0
333,2,13,1,1,0.74,0.6818,0.62,0.1343,1.0
102,1,21,1,1,0.24,0.2121,0.41,0.2836,1.0
75,2,23,1,2,0.58,0.5455,0.78,0.1045,1.0
3,1,5,1,3,0.36,0.3485,0.0,0.194,1.0
393,2,16,1,1,0.82,0.7727,0.49,0.4925,1.0
392,3,16,1,1,0.82,0.697,0.24,0.4478,1.0
635,2,12,0,1,0.64,0.6212,0.44,0.2836,1.0
238,2,22,1,1,0.62,0.6212,0.5,0.2985,1.0
303,4,15,1,1,0.66,0.6212,0.36,0.3284,1.0
122,3,1,0,1,0.72,0.7121,0.84,0.194,1.0
294,4,7,1,2,0.38,0.3939,0.94,0.2537,1.0
408,3,13,1,2,0.7,0.6515,0.54,0.194,1.0
26,1,3,0,2,0.44,0.4394,0.88,0.0,1.0
148,2,14,1,1,0.68,0.6364,0.74,0.2836,1.0
145,2,23,0,1,0.58,0.5455,0.78,0.0896,1.0
16,1,5,1,2,0.28,0.2727,0.93,0.1642,1.0
260,4,15,1,1,0.6,0.5758,0.78,0.3284,1.0
131,2,0,0,1,0.54,0.5152,0.88,0.1642,1.0
83,2,13,1,2,0.3,0.2879,0.24,0.2239,1.0
89,2,21,1,1,0.34,0.2879,0.46,0.5224,1.0
22,2,1,1,1,0.6,0.6212,0.38,0.3582,1.0
468,3,17,1,1,0.84,0.803,0.53,0.194,1.0
460,2,15,0,1,0.82,0.7879,0.56,0.2985,1.0
477,2,8,1,2,0.68,0.6364,0.61,0.1343,1.0
17,4,0,1,1,0.22,0.2727,0.8,0.0,1.0
250,2,11,0,1,0.46,0.4545,0.82,0.1045,1.0
237,2,20,1,1,0.66,0.6212,0.61,0.2836,1.0
239,2,21,1,1,0.52,0.5,0.77,0.2239,1.0
169,4,10,1,2,0.3,0.3333,0.65,0.0,1.0
416,3,13,0,1,0.82,0.7424,0.41,0.2239,1.0
449,3,8,1,1,0.8,0.7424,0.49,0.2537,1.0
105,4,10,1,2,0.22,0.2424,0.69,0.1045,1.0
187,4,13,1,2,0.7,0.6667,0.74,0.1642,1.0
55,2,8,0,1,0.3,0.3182,0.7,0.1045,1.0
72,1,21,0,1,0.16,0.1667,0.4,0.1642,1.0
14,2,6,0,1,0.62,0.5606,0.88,0.1045,1.0
