epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss,miu_mean_train,miu_var_train
1,6707.42766560415,"[-2830.668178562592, -614.5915872923536, -10.845845084012385, -3.7690858402165266, -3.704037523708411]",1.1446396185478405,"[-2167.287253736388, -587.9934928619148, -11.019195389665352, -7.0996051291438445, -7.858630572035909]",346.6396681627234,"[-0.6611716747283936, 1.9034725427627563]","[[340.4140695821729, -325.28100463992206], [-325.28100463992206, 343.73678157936587]]"
2,5868.737056986441,"[-4668.492733764651, -1672.5134335072833, -26.14752558416791, -13.943416002127845, -13.222359434697355]",0.26529894444367147,"[-4618.6930372111, -1609.9482057189941, -27.05699718872706, -17.279459017515183, -17.920004964669545]",1215.3704134928373,"[-6.8894524574279785, 0.7813107967376709]","[[1135.486035777415, -679.3617318385365], [-679.3617318385365, 1260.4987399033894]]"
3,5811.145219993405,"[-4908.931282212998, -1808.438565945094, -28.245727965964228, -13.546073104739184, -10.78811586817105]",0.09472962720914636,"[-4880.736487223307, -1793.708230641683, -30.776261483033498, -21.125041390260062, -22.39320478995641]",1353.268857421876,"[-1.7345998287200928, 3.2830374240875244]","[[1288.9612473579223, -654.0580025454243], [-654.0580025454243, 1430.103777925085]]"
4,5810.537745086246,"[-4899.001147816975, -1806.2187675899916, -28.12487908667989, -12.095858347680855, -10.442750034994555]",0.05680542501698561,"[-4891.3565316772465, -1796.4125991312662, -30.789253776073455, -22.34870783964793, -23.14389320453008]",1353.2142036132816,"[-3.1981728076934814, 3.2192764282226562]","[[1284.702448384272, -649.8689558743503], [-649.8689558743503, 1428.2086638212384]]"
5,5808.458107268178,"[-4903.345503743485, -1787.7534883541528, -26.77723100410568, -11.211232559813395, -11.557229612006086]",0.03963836241086637,"[-4891.496267903646, -1816.7038058980306, -32.13124411900838, -23.355893138249716, -22.122524217764536]",1353.4783935546884,"[-3.0847554206848145, 3.0996363162994385]","[[1289.5700330262525, -650.1118537052621], [-650.1118537052621, 1425.2005293618695]]"
6,5809.720984101717,"[-4898.77683654786, -1779.250482957627, -25.659954596890362, -10.145891499254446, -11.672337471644099]",0.02898596349935461,"[-4883.382028401693, -1821.5333722941082, -33.23951033910116, -24.396413048108418, -21.89679372549057]",1350.8096598307286,"[-2.8891844749450684, 2.9968624114990234]","[[1286.7143976405541, -649.2104994308331], [-649.2104994308331, 1424.4517798287086]]"
7,5809.2605299789575,"[-4899.815398763023, -1775.4435001373288, -24.02644051684275, -8.323353044059544, -11.636929681168665]",0.027826360124551367,"[-4897.2810650634765, -1828.1843454996745, -34.98111226320267, -26.18638553937276, -22.11804086605708]",1354.1880208333332,"[-3.0718939304351807, 3.2184672355651855]","[[1287.02701541738, -651.7437565505567], [-651.7437565505567, 1428.5484741140185]]"
8,5809.263999700071,"[-4886.725638037785, -1774.1104572465674, -23.78800897002221, -7.810064586003626, -11.571819576687286]",0.02019833551312333,"[-4899.655268147786, -1829.138681640625, -35.22991810162862, -26.765272805690767, -22.139945693016053]",1351.977464518229,"[-3.068167209625244, 3.0846402645111084]","[[1289.0421366446049, -648.6857624719705], [-648.6857624719705, 1423.0474442739398]]"
9,5809.3021245928385,"[-4886.01155202229, -1775.6241218058271, -24.48696275565359, -8.168866046932006, -11.431157097684022]",0.017742694505141113,"[-4905.543802286784, -1828.1180499776203, -34.61691935618718, -26.465640468597414, -22.244961264133455]",1353.1519251302095,"[-2.953188180923462, 3.061736583709717]","[[1288.4027349162877, -651.289299308582], [-651.289299308582, 1426.8747047075653]]"
10,5809.330729150402,"[-4882.162416059706, -1770.2770217810742, -24.372831470568965, -7.90770272625817, -11.29300918738047]",0.015594034953974179,"[-4907.433859456381, -1832.7155710347492, -34.72438757737478, -26.698146936098734, -22.373247984250387]",1352.6154539388024,"[-3.055148124694824, 3.018671751022339]","[[1288.3299592178346, -650.8987520417891], [-650.8987520417891, 1425.5115021710262]]"
